Pity,Time(s)   SKIP
1,4.0903753
2,4.3265714
3,4.4007735000000014
4,4.650043499999999
5,4.727311400000001
6,4.926827499999998
7,5.159386600000005
8,5.230107199999999
9,5.662044799999997
10,5.885736300000005
11,5.8668515999999995
12,6.1049988
13,6.3253313
14,6.645971499999999
15,6.8418087
16,6.770436799999999
17,7.5197222
18,8.3549298
19,8.074258299999997
20,7.502651700000001
21,7.765213699999997
22,7.891887199999999
23,8.182050900000007
24,8.325692000000004
25,8.5309654
26,8.704099
27,8.979163
28,9.17667800000001
29,9.29795510000001
30,9.595575400000001
31,9.653965999999997
32,9.804522600000013
33,9.953033200000021
34,10.137144899999981
35,10.310005200000006
36,10.434810199999987
37,10.6575694
38,10.75137989999999
39,11.024343299999998
40,11.164921899999996
41,11.252908999999988
42,11.454950900000028
43,12.941784100000007
44,13.622216900000012
45,14.060013000000026
46,14.126111700000024
47,14.366608100000008
48,14.543172500000026
49,15.556835999999976
50,15.58512810000002
51,15.276410800000008
52,15.454796799999997
53,15.585642699999994
54,16.205297299999984
55,16.043314799999962
56,16.078383599999995
57,16.24941100000001
58,16.651858700000048
59,17.052846000000045
60,16.950224400000025
61,17.067277999999988
62,17.41305060000002
63,17.370033000000035
64,18.163753799999995
65,18.59217990000002
66,18.93497889999992
67,18.826743899999997
68,18.77579419999995
69,18.964391399999954
70,19.323230400000057
71,19.773790899999995
72,19.479802500000005
73,20.54405959999997
74,19.980052699999987
75,20.05214000000001
76,20.41841860000011
77,20.28679909999994
78,21.45347819999995
79,20.256032600000026
80,20.66819170000008
81,19.298653899999977
82,20.3886404
83,23.3596008
84,24.618536400000004
85,24.85278240000001
86,23.960678400000006
87,23.9960356
88,23.4523418
89,20.2597059
90,21.880075499999975
91,27.84565330000001
92,24.40098960000003
93,21.52304750000002
94,24.81716750000004
95,27.1816101
96,28.0240953
97,25.28139729999998
98,21.851713700000005
99,23.657602800000006
100,25.062797999999987
101,23.21210739999998
102,22.60464950000005
103,22.896700799999962
104,24.8532878
105,25.0732848
106,24.178660200000003
107,23.7169662
108,23.865620700000008
109,23.6365508
110,25.162878199999998
111,25.481049499999997
112,25.427789699999998
113,27.445165499999998
114,27.472973599999996
115,27.120962199999994
116,26.806779700000007
117,27.242816000000005
118,27.1134079
119,27.4096447
120,27.726559199999997
121,25.7134341
122,25.76703200000003
123,25.8166334
124,26.81497939999997
125,26.874136799999974
126,26.224782500000003
127,26.288014999999973
128,26.610307699999964
129,26.622181599999976
130,30.47091039999998
131,27.951284099999953
132,27.87466260000008
133,27.782881100000054
134,27.783167400000025
135,27.92555010000001
136,28.305691799999977
137,28.564522600000032
138,28.553257500000086
139,28.68147840000006
140,29.19325619999995
141,30.008820900000046
142,30.877592100000015
143,29.714968699999986
144,30.000978400000008
145,30.047358099999997
146,30.5048331
147,30.5792864
148,31.743398999999997
149,30.972818599999997
150,30.952767800000018
151,30.977926499999995
152,31.47811820000001
153,31.881093700000008
154,31.763247999999976
155,31.773941400000012
156,32.12784540000001
157,32.231790699999976
158,32.28040720000001
159,32.38096969999998
160,32.751709500000004
161,32.76630749999998
162,33.46717509999996
163,33.421628000000055
164,33.59598730000005
165,33.758941999999934
166,33.90529250000009
167,34.099769299999934
168,34.99896489999992
169,34.945539499999995
170,34.994563000000085
171,35.27947119999999
172,35.653874900000005
173,35.64379859999997
174,35.86319040000001
175,35.885212199999955
176,36.356676300000004
177,36.4577162999999
178,36.857443399999966
179,36.942793000000165
180,37.280629899999894
181,37.24065499999983
182,37.476290299999846
183,37.56149540000001
184,37.4320467
185,37.7637964999999
186,38.4799653
187,38.43867230000001
188,38.64834780000001
189,38.71014390000005
190,38.91124479999985
191,38.82543830000009
192,39.16817530000003
193,39.32148600000005
194,39.747631299999966
195,39.970407199999954
196,40.202635999999984
197,40.35046710000006
198,40.513595699999996
199,40.36559109999985
200,41.11000319999994
201,41.126526099999865
202,41.31590609999989
203,41.52819220000015
204,41.50856769999973
205,41.385630899999796
206,41.7395547000001
207,42.53983990000006
208,42.35147139999981
209,42.656939700000294
210,42.68686700000035
211,42.501368900000216
212,42.098971699999765
213,42.261130800000046
214,42.890173100000084
215,43.05122279999978
216,43.29094899999973
217,43.324344499999825
218,43.49974340000017
219,43.776493200000004
220,43.77043159999994
221,43.857070199999725
222,44.374241099999836
223,44.23399940000036
224,44.7472659
225,44.54471610000019
226,44.81672600000002
227,45.153409999999894
228,44.86597739999979
229,45.68575090000013
230,45.5626585
231,45.88229159999992
232,46.54304550000006
233,46.328224800000044
234,46.24780670000018
235,46.44454200000018
236,46.486402100000305
237,47.41781800000035
238,47.023631900000055
239,47.01012299999957
240,47.655578700000206
241,47.535456400000385
242,47.52712419999989
243,48.0195506
244,48.61454249999997
245,48.957430199999635
246,48.258443199999874
247,48.05477999999994
248,48.66838869999992
249,49.133564799999476
250,48.8882193999998
251,49.28704440000001
252,49.863358999999946
253,50.55806080000002
254,51.289358099999845
255,51.077702300000055
256,52.22927809999965
257,52.62291499999992
258,51.3655418999997
259,52.17289340000025
260,52.42330039999979
261,53.24069280000003
262,53.0013998000004
263,53.07079789999989
264,52.410716800000046
265,53.817080000000715
266,52.89055250000001
267,54.1205073000001
268,57.346840699999994
269,59.7224767
270,59.08405379999999
271,61.20100009999999
272,57.819885
273,60.32556970000002
274,55.145396800000015
275,53.51079619999996
276,58.28046139999998
277,53.742025999999896
278,53.18958120000002
279,53.33042189999992
280,53.76339729999995
281,53.742886
282,54.167023499999914
283,59.237737400000015
284,55.648670700000025
285,56.21923960000004
286,75.0005745
287,73.5330381
288,74.9496647
289,76.09658480000002
290,83.55002350000001
291,74.35758820000001
292,59.02301300000005
293,61.456668899999954
294,76.84084510000002
295,78.55944820000002
296,102.31407300000001
297,86.45486589999996
298,59.46871939999994
299,78.72425759999999
300,94.45213239999998
301,104.80639360000009
302,102.75653620000003
303,98.58432650000009
